nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,88.0,8.8,18.7,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.0,19.3,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.4,18.9,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,9.8,18.4,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,8.8,18.4,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,10.4,18.8,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,9.8,19.2,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,10.0,18.9,89.6,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,8.6,18.7,89.5,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.6,18.6,89.5,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,83.0,9.0,18.7,89.4,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.8,20.3,89.7,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,10.6,19.6,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.1,21.6,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,12.5,18.9,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,11.8,18.5,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,92.0,12.9,20.2,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.2,19.1,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,13.5,19.2,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,91.0,10.7,15.4,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,90.0,13.3,20.9,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,10.9,16.5,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,11.8,15.9,90.5,7.1,0.7,
