nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,94.0,11.9,15.0,69.2,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,95.0,11.2,14.2,69.1,5.4,2.4,
GUSNAWEB,Intel Core i5-8350U,94.0,12.5,16.5,68.5,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,93.0,11.6,17.2,68.6,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,93.0,10.4,14.5,68.6,5.4,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,15.0,16.1,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,92.0,10.9,14.1,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,90.0,11.3,14.7,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,12.9,17.3,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,77.0,13.3,14.1,68.1,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,90.0,12.0,14.6,67.9,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,11.9,14.8,68.0,5.3,2.5,
GUSNAWEB,Intel Core i5-8350U,91.0,12.2,14.1,67.3,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,92.0,12.3,18.3,67.2,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,10.8,14.7,67.1,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,91.0,12.3,14.8,67.1,5.3,2.6,
GUSNAWEB,Intel Core i5-8350U,92.0,13.7,16.6,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,11.4,14.3,66.9,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,90.0,12.1,17.7,66.9,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,89.0,11.5,15.3,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,89.0,11.2,14.3,66.8,5.2,2.6,
GUSNAWEB,Intel Core i5-8350U,86.0,11.6,14.5,65.8,5.2,2.7,
GUSNAWEB,Intel Core i5-8350U,97.0,13.5,18.1,65.0,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,12.4,17.5,65.1,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,11.6,16.0,65.1,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.9,16.5,65.0,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,90.0,15.8,20.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.5,15.2,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,93.0,10.8,17.7,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.8,15.7,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,5.2,15.0,65.5,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,3.9,15.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.6,15.3,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,6.8,16.8,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,78.0,7.0,15.9,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,8.5,14.9,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.6,14.8,65.3,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,8.5,14.2,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,6.6,14.5,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,6.8,17.7,65.5,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,88.0,7.0,15.2,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,86.0,6.1,13.8,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,81.0,8.8,14.4,65.4,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,75.0,6.4,15.2,65.6,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,89.0,11.8,20.8,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,85.0,8.4,14.4,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,3.8,14.1,65.7,5.2,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,7.4,15.5,65.7,5.1,2.7,
GUSNAWEB,Intel Core i5-8350U,87.0,8.6,14.4,64.9,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,9.6,16.3,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,86.0,7.6,14.4,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,10.2,13.9,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,85.0,6.8,14.7,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,77.0,6.0,15.5,64.8,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,92.0,5.5,22.7,64.9,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,87.0,8.4,16.6,64.5,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,96.0,7.6,21.7,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,82.0,6.8,16.5,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,91.0,12.5,21.9,64.6,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,88.0,8.0,18.4,64.7,5.1,2.8,
GUSNAWEB,Intel Core i5-8350U,93.0,7.6,21.7,64.7,5.1,2.8,
